********************************************************************************
LOGGING TIME: 20200930_181119
CLIENT IP: 127.0.1.1
USERNAME: baba
OS: Linux
ARCHITECTURE: amd64
VERSION: 4.15.0-118-generic
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 996, 867, 6
MM, 1002, 867, 7
MM, 1007, 867, 8
MM, 1012, 867, 7
MM, 1016, 867, 7
MM, 1020, 867, 7
MM, 1023, 867, 7
MM, 1026, 867, 8
MM, 1028, 867, 7
MM, 1031, 867, 7
MM, 1033, 867, 8
MM, 1035, 867, 7
MM, 1038, 867, 7
MM, 1040, 868, 8
MM, 1042, 868, 7
MM, 1043, 868, 8
MM, 1044, 868, 7
MM, 1045, 868, 22
MM, 1046, 868, 1
MM, 1046, 868, 3
MM, 1047, 868, 3
MM, 1047, 869, 21
MM, 1048, 869, 22
MM, 1048, 870, 8
MM, 1049, 870, 7
MM, 1050, 871, 7
MM, 1051, 871, 7
MM, 1051, 872, 8
MM, 1052, 873, 7
MM, 1053, 873, 7
MM, 1053, 874, 8
MM, 1053, 875, 28
MM, 1053, 875, 9
MM, 1053, 876, 7
MM, 1053, 876, 7
MM, 1053, 877, 7
MM, 1053, 878, 8
MM, 1053, 878, 8
MM, 1053, 880, 7
MM, 1053, 881, 6
MM, 1053, 885, 9
MM, 1052, 888, 6
MM, 1048, 892, 7
MM, 1041, 898, 7
MM, 1032, 905, 8
MM, 1023, 913, 7
MM, 1014, 920, 7
MM, 1007, 927, 7
MM, 999, 934, 8
MM, 992, 942, 7
MM, 984, 949, 7
MM, 977, 956, 7
MM, 970, 965, 8
MM, 964, 972, 9
MM, 959, 978, 5
MM, 954, 984, 9
MM, 951, 989, 6
MM, 947, 993, 7
MM, 946, 996, 7
MM, 944, 997, 8
MM, 942, 997, 3287
MM, 934, 1003, 9
MM, 921, 1015, 6
MM, 908, 1027, 7
MM, 893, 1038, 7
MM, 879, 1050, 8
MM, 866, 1061, 7
MM, 855, 1073, 8
MM, 846, 1079, 6
MM, 839, 1079, 8
MM, 833, 1079, 7
MM, 830, 1079, 7
MM, 827, 1079, 8
MM, 823, 1079, 7
MM, 821, 1079, 7
MM, 820, 1079, 8
MM, 819, 1079, 10
MM, 819, 1079, 5
MM, 819, 1079, 7
MM, 819, 1079, 7
MM, 819, 1079, 7
MM, 819, 1079, 8
MM, 819, 1077, 72
MM, 820, 1071, 7
MM, 827, 1058, 8
MM, 836, 1047, 9
MM, 844, 1036, 7
MM, 852, 1024, 6
MM, 860, 1006, 8
MM, 869, 989, 7
MM, 875, 975, 8
MM, 880, 965, 16
MM, 884, 956, 2
MM, 888, 949, 4
MM, 891, 943, 6
MM, 893, 940, 7
MM, 894, 938, 7
MM, 894, 936, 7
MM, 895, 936, 8
MM, 895, 935, 10
MM, 895, 935, 4
MM, 895, 934, 8
MM, 895, 935, 146
MM, 895, 938, 7
MM, 895, 944, 8
MM, 895, 952, 7
MM, 895, 957, 7
MM, 895, 963, 7
MM, 895, 967, 8
MM, 895, 972, 6
MM, 895, 975, 8
MM, 895, 978, 7
MM, 895, 981, 7
MM, 895, 984, 7
MM, 895, 988, 8
MM, 895, 992, 8
MM, 895, 994, 6
MM, 894, 997, 7
MM, 893, 1001, 8
MM, 893, 1004, 7
MM, 893, 1008, 7
MM, 893, 1012, 8
MM, 893, 1015, 7
MM, 893, 1018, 8
MM, 893, 1021, 6
MM, 893, 1023, 8
MM, 893, 1025, 7
MM, 893, 1027, 7
MM, 893, 1027, 8
MM, 893, 1028, 7
MM, 893, 1029, 8
MM, 893, 1030, 6
MM, 893, 1030, 8
MP, 1, 6128
MR, 1, 101
MC, 1, 0
MM, 893, 1028, 156
MM, 893, 1025, 7
MM, 894, 1021, 7
MM, 900, 1016, 10
MM, 907, 1010, 14
MM, 917, 1002, 6
MM, 929, 994, 3
MM, 941, 986, 15
MM, 952, 977, 1
MM, 963, 972, 4
MM, 973, 966, 6
MM, 981, 961, 8
MM, 988, 957, 7
MM, 994, 954, 11
MM, 1000, 950, 5
MM, 1005, 948, 6
MM, 1009, 946, 8
MM, 1012, 945, 8
MM, 1014, 944, 5
MM, 1016, 944, 8
MM, 1017, 943, 7
MM, 1018, 942, 7
MM, 1019, 942, 7
MM, 1020, 942, 7
MM, 1021, 942, 8
MM, 1021, 942, 7
MM, 1022, 941, 7
MM, 1022, 941, 8
MM, 1022, 939, 109
MM, 1023, 938, 7
MM, 1024, 937, 7
MM, 1024, 936, 9
MM, 1025, 936, 6
MM, 1026, 935, 9
MM, 1026, 932, 6
MM, 1027, 931, 7
MM, 1027, 930, 7
MM, 1027, 929, 8
MM, 1027, 929, 7
MM, 1027, 928, 8
MM, 1027, 927, 7
MM, 1027, 927, 7
MM, 1027, 926, 8
MM, 1028, 925, 6
MM, 1028, 924, 8
MM, 1028, 924, 7
MM, 1028, 923, 14
MM, 1028, 922, 8
MM, 1028, 922, 7
MM, 1028, 921, 7
MM, 1028, 921, 8
MM, 1028, 920, 36
MM, 1027, 920, 6779
MM, 1026, 920, 8
MM, 1024, 920, 6
MM, 1022, 916, 8
MM, 1020, 909, 7
MM, 1017, 901, 8
MM, 1015, 894, 7
MM, 1013, 887, 7
MM, 1012, 880, 8
MM, 1011, 871, 6
MM, 1010, 860, 8
MM, 1009, 851, 7
MM, 1008, 841, 8
MM, 1007, 832, 7
MM, 1006, 823, 7
MM, 1005, 812, 7
MM, 1003, 802, 8
MM, 1002, 793, 7
MM, 1001, 787, 7
MM, 1000, 781, 8
MM, 999, 777, 7
MM, 998, 775, 8
MM, 998, 773, 6
MM, 998, 771, 8
MM, 998, 769, 7
MM, 998, 768, 7
MM, 998, 767, 7
MM, 998, 765, 8
MM, 998, 765, 7
MM, 998, 764, 8
MM, 998, 764, 7
MM, 998, 765, 452
MM, 998, 767, 7
MM, 998, 769, 7
MM, 998, 770, 8
MM, 998, 772, 7
MM, 998, 775, 7
MM, 995, 782, 7
MM, 989, 797, 8
MM, 980, 815, 7
MM, 971, 833, 7
MM, 963, 855, 7
MM, 957, 871, 8
MM, 952, 885, 7
MM, 948, 898, 7
MM, 945, 908, 8
MM, 943, 922, 7
MM, 941, 930, 7
MM, 940, 938, 7
MM, 939, 942, 8
MM, 938, 946, 8
MM, 937, 949, 6
MM, 937, 951, 8
MM, 936, 952, 7
MM, 935, 953, 7
MM, 935, 954, 8
MM, 934, 955, 7
MM, 934, 957, 7
MM, 934, 958, 8
MM, 934, 959, 7
MM, 934, 959, 7
MM, 934, 960, 8
MM, 934, 960, 6
MM, 934, 961, 8
MM, 934, 962, 7
MM, 934, 961, 198
MM, 934, 959, 6
MM, 934, 955, 8
MM, 934, 952, 8
MM, 934, 950, 6
MM, 934, 948, 8
MM, 934, 946, 7
MM, 934, 944, 8
MM, 934, 942, 7
MM, 934, 941, 7
MM, 934, 940, 7
MM, 934, 938, 7
MM, 934, 937, 8
MM, 933, 935, 7
MM, 933, 933, 7
MM, 933, 932, 8
MM, 933, 930, 7
MM, 933, 928, 7
MM, 933, 927, 7
MM, 933, 926, 7
MM, 933, 925, 7
MM, 933, 924, 8
MM, 933, 924, 8
MM, 933, 924, 3682
MM, 933, 925, 5
MM, 933, 927, 9
MM, 933, 931, 6
MM, 933, 933, 9
MM, 933, 938, 6
MM, 933, 941, 7
MM, 933, 946, 8
MM, 933, 950, 11
